"ID","gene","GO_id"
"410","GRMZM2G171373","GO:0004340"
"411","GRMZM2G171373","GO:0005739"
"412","GRMZM2G171373","GO:0000166"
"413","GRMZM2G171373","GO:0016740"
"414","GRMZM2G171373","GO:0016310"
"415","GRMZM2G171373","GO:0005524"
"416","GRMZM2G171373","GO:0016301"
"417","GRMZM2G171373","GO:0051156"
"418","GRMZM2G171373","GO:0005886"
"419","GRMZM2G171373","GO:0005975"
"420","GRMZM2G171373","GO:0016773"
"421","GRMZM2G089491","GO:0005886"
"422","GRMZM2G123257","GO:0032259"
"423","GRMZM2G043926","GO:0005215"
"424","GRMZM2G043926","GO:0016020"
"425","GRMZM2G095725","GO:0005975"
"426","GRMZM2G095725","GO:0005618"
"427","GRMZM2G095725","GO:0005982"
"428","GRMZM2G095725","GO:0005986"
"429","GRMZM2G095725","GO:0005773"
"430","GRMZM2G095725","GO:0031219"
"431","GRMZM2G444560","GO:0005524"
"432","GRMZM2G444560","GO:0000166"
"433","GRMZM2G095727","GO:0000160"
"434","GRMZM2G095727","GO:0000156"
"435","GRMZM2G095727","GO:0005515"
"436","GRMZM2G095727","GO:0006355"
"437","GRMZM2G002542","GO:0005515"
"438","GRMZM2G002542","GO:0005524"
"439","GRMZM2G049373","GO:0051082"
"440","GRMZM2G049372","GO:0016021"
"441","GRMZM2G049372","GO:0016020"
"442","GRMZM2G049370","GO:0005506"
"443","GRMZM2G088549","GO:0004143"
"444","GRMZM2G162672","GO:0016021"
"445","GRMZM2G047002","GO:0005515"
"446","GRMZM2G162670","GO:0017176"
"447","GRMZM2G162670","GO:0016021"
"448","GRMZM2G510303","GO:0009055"
"449","GRMZM2G035726","GO:0005634"
"450","GRMZM2G011228","GO:0005515"
"451","GRMZM2G042034","GO:0051539"
"452","GRMZM2G042034","GO:0005747"
"453","GRMZM2G042034","GO:0048038"
"454","GRMZM2G179424","GO:0005515"
"455","GRMZM2G042032","GO:0005634"
"456","GRMZM2G080775","GO:0005515"
"457","GRMZM2G011222","GO:0016021"
"458","GRMZM6G474234","GO:0016757"
"459","GRMZM2G164580","GO:0005886"
"460","GRMZM5G883511","GO:0006233"
"461","GRMZM5G883511","GO:0005524"
"462","GRMZM5G838918","GO:0016772"
"463","GRMZM5G838918","GO:0005524"
"464","GRMZM2G163988","GO:0005840"
"465","GRMZM2G163988","GO:0016020"
"466","GRMZM2G163988","GO:0005622"
"467","GRMZM2G163988","GO:0003735"
"468","GRMZM2G032711","GO:0005634"
"469","GRMZM2G032711","GO:0005829"
"470","GRMZM2G032711","GO:0005515"
"471","GRMZM2G018228","GO:0005618"
"472","GRMZM2G018228","GO:0005622"
"473","GRMZM2G018228","GO:0003735"
"474","GRMZM2G018228","GO:0005886"
"475","GRMZM2G018223","GO:0005829"
"476","GRMZM2G018223","GO:0033588"
"477","GRMZM2G018223","GO:0035265"
"478","GRMZM2G076723","GO:0043546"
"479","GRMZM2G076723","GO:0005773"
"480","GRMZM2G076723","GO:0005829"
"481","GRMZM2G076723","GO:0042128"
"482","GRMZM2G076723","GO:0008940"
"483","GRMZM2G076723","GO:0005886"
"484","GRMZM2G076723","GO:0009416"
"485","GRMZM2G076723","GO:0009055"
"486","GRMZM2G005013","GO:0050982"
"487","GRMZM2G005013","GO:0005634"
"488","GRMZM2G005013","GO:0005886"
"489","GRMZM2G350626","GO:0016021"
